"subID","gender","age","DOC"
"voc017a","M",20.25,105
"voc018a","F",20.24,127
"voc028a","M",22.83,120
"voc023a","F",20.48,108
"voc029a","M",22.01,120
"voc030a","F",25.52,98
"voc020a","F",21.48,91
"voc022a","F",18.75,117
"voc024a","F",19.72,79
"voc034a","M",23.17,91
"voc019a","F",20.15,96
"voc021a","M",18.06,67
"voc037a","F",18.88,113
"voc040a","M",18.75,109
"voc041a","M",23.32,94
"voc026a","M",22.24,106
"voc035a","F",20.02,92
"voc042a","F",22.18,123
"voc036a","F",18.79,107
"voc044a","M",20.83,80
"voc039a","F",22.33,105
"voc043a","F",22.13,94
"voc046a","M",18.81,90
"voc032a","M",19.05,100
"voc025a","M",19.77,88
"voc045a","F",21.38,81
"voc047a","M",19.86,87
"voc049a","M",21.22,97
"voc027a","F",24.34,112
"voc051a","F",25.87,106
"voc050a","F",19.37,102
"voc052a","M",24.46,99
"voc053a","M",24.78,93
"voc057a","M",24.11,95
"voc048a","M",25.17,93
"voc055a","F",23.08,75
"voc061a","F",24.52,97
"voc063a","F",24.41,100
"voc060a","M",25.7,78
"voc059a","M",25.67,108
"voc067a","M",24.01,98
"voc064a","F",21.71,106
"voc056a","F",25.81,82
"voc066a","F",23.86,97
"voc058a","F",23.98,94
"voc062a","F",23.99,89
"voc068t","F",13.32,91
"voc070c","M",11.24,88
"voc071t","M",14.62,77
"voc072c","M",11.81,106
"voc073t","M",13.87,96
"voc069t","M",16.17,99
"voc079c","F",11.53,86
"voc080t","M",13.28,94
"voc078c","F",10.41,92
"voc074c","M",10.53,94
"voc075c","M",10.97,77
"voc076t","M",13.96,87
"voc077c","F",11.44,90
"voc092c","M",12.01,97
"voc083c","F",12.27,90
"voc093t","M",16.51,87
"voc086t","F",17.62,102
"voc094t","F",17.37,88
"voc087c","M",12.08,97
"voc088t","F",16.38,100
"voc089t","M",13.04,103
"voc084c","M",10.19,105
"voc085c","F",10.19,NA
"voc097t","F",16.66,103
"voc098t","F",13.71,100
"voc095c","F",12.7,92
"voc096c","M",10.39,75
"voc100t","M",17.49,95
"voc102t","M",14.58,100
"voc103t","M",15.36,105
"voc106t","M",14.02,93
"voc090t","M",15.57,109
"voc107t","F",16.81,91
"voc099t","M",14.1,102
"voc110t","M",17.9,89
"voc112c","M",12.81,82
"voc111t","F",15.08,99
"voc115t","F",14.2,78
"voc114t","F",15.18,101
"voc091t","F",15.69,102
"voc113c","F",10.35,112
"voc116t","M",14.31,98
"voc119t","F",14.14,68
"voc120t","F",17.12,88
"voc117t","F",17.59,100
"voc118c","F",11.58,60
