"subID","gender","age","LOC"
"voc017a","M",20.25,11
"voc018a","F",20.24,8
"voc028a","M",22.83,13
"voc023a","F",20.48,8
"voc029a","M",22.01,9
"voc030a","F",25.52,9
"voc020a","F",21.48,23
"voc022a","F",18.75,6
"voc024a","F",19.72,10
"voc034a","M",23.17,19
"voc019a","F",20.15,13
"voc021a","M",18.06,21
"voc037a","F",18.88,9
"voc040a","M",18.75,7
"voc041a","M",23.32,16
"voc026a","M",22.24,17
"voc035a","F",20.02,7
"voc042a","F",22.18,8
"voc036a","F",18.79,17
"voc044a","M",20.83,21
"voc039a","F",22.33,NA
"voc043a","F",22.13,11
"voc046a","M",18.81,10
"voc032a","M",19.05,13
"voc025a","M",19.77,11
"voc045a","F",21.38,13
"voc047a","M",19.86,11
"voc049a","M",21.22,8
"voc027a","F",24.34,13
"voc051a","F",25.87,12
"voc050a","F",19.37,17
"voc052a","M",24.46,14
"voc053a","M",24.78,11
"voc057a","M",24.11,13
"voc048a","M",25.17,18
"voc055a","F",23.08,10
"voc061a","F",24.52,13
"voc063a","F",24.41,15
"voc060a","M",25.7,10
"voc059a","M",25.67,12
"voc067a","M",24.01,8
"voc064a","F",21.71,17
"voc056a","F",25.81,18
"voc066a","F",23.86,12
"voc058a","F",23.98,9
"voc062a","F",23.99,17
"voc068t","F",13.32,14
"voc070c","M",11.24,9
"voc071t","M",14.62,12
"voc072c","M",11.81,11
"voc073t","M",13.87,7
"voc069t","M",16.17,16
"voc079c","F",11.53,14
"voc080t","M",13.28,11
"voc078c","F",10.41,12
"voc074c","M",10.53,18
"voc075c","M",10.97,17
"voc076t","M",13.96,16
"voc077c","F",11.44,9
"voc092c","M",12.01,18
"voc083c","F",12.27,18
"voc093t","M",16.51,18
"voc086t","F",17.62,12
"voc094t","F",17.37,13
"voc087c","M",12.08,15
"voc088t","F",16.38,16
"voc089t","M",13.04,16
"voc084c","M",10.19,8
"voc085c","F",10.19,10
"voc097t","F",16.66,21
"voc098t","F",13.71,7
"voc095c","F",12.7,7
"voc096c","M",10.39,9
"voc100t","M",17.49,9
"voc102t","M",14.58,11
"voc103t","M",15.36,9
"voc106t","M",14.02,12
"voc090t","M",15.57,16
"voc107t","F",16.81,13
"voc099t","M",14.1,7
"voc110t","M",17.9,8
"voc112c","M",12.81,12
"voc111t","F",15.08,15
"voc115t","F",14.2,4
"voc114t","F",15.18,13
"voc091t","F",15.69,22
"voc113c","F",10.35,8
"voc116t","M",14.31,11
"voc119t","F",14.14,16
"voc120t","F",17.12,18
"voc117t","F",17.59,8
"voc118c","F",11.58,15
