subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
voc017a,567.723147931116,569.558813493902,568.80142315661,570.601714561272,569.722749090957,571.539157033923,516.834875609723,512.961675651271,412.021697314539,413.946592610298,409.817149240253,411.973431653848,401.845921255197,403.600112835079,401.131969208466,402.991383457299
voc018a,583.738085097106,553.813787072953,528.334123038233,522.584212724238,585.18485820231,549.765458759461,491.634999975733,490.943742293248,446.66208482323,433.634002511111,433.266109036398,428.802408030017,445.994083322989,429.445921744841,413.146842540729,412.59171035407
voc019a,461.106809385596,462.439985059076,462.477002351914,463.815841586621,461.532486537127,463.143113161185,440.939844916406,431.601894012695,435.39938797217,436.166337253872,437.177433435472,437.742194743634,407.425951379132,409.483837111281,406.256529895098,407.496657273827
voc020a,425.261202215337,426.950027517488,413.644375179544,413.764241926965,427.25404058464,428.950853217249,379.557318273488,375.599540205699,378.356496732819,378.981268790227,366.250784809209,368.421640974963,364.982066344462,366.534474789176,356.395283975564,356.705884962397
voc021a,226.702921728672,228.369789471279,227.817394393313,230.574730038382,223.040964733272,225.210691577813,225.899213670958,217.765388690699,186.974566335927,189.93251290298,188.791519256306,192.091199084914,184.112362837546,186.704517269109,187.685653046748,190.564274543621
voc022a,519.417817544901,517.300028725818,512.980152121067,512.558023243966,520.656119670001,517.799738573564,411.586240506907,390.950655095222,396.311953132528,390.481325706049,397.983041235169,392.163941075305,390.352311294957,386.990100537604,320.648675488417,320.720128534935
voc023a,480.233773386018,482.124014421365,479.312586858602,481.128666071354,479.724025369615,464.231263837266,338.80608830941,326.192038153139,380.535163132763,382.374350705083,365.38286809967,365.938063266625,311.329501866736,313.491700962066,295.296463049089,296.261388379858
voc024a,786.159735471142,679.118513032326,787.958514630398,681.019942543645,784.93458843088,681.128462125845,788.841467931784,685.00510216754,256.953099502279,256.256439162617,258.924097622535,258.159918246929,258.583324532694,258.238638831696,262.436261477231,262.113908243906
voc025a,533.748766042438,531.689559286944,533.359967373757,526.442750098493,535.713730423182,533.615808051655,516.161250644679,483.426961169252,364.816330268018,367.521478607757,366.786545923779,369.514929452329,364.359081710538,367.003840641328,365.530882944863,368.207311299349
voc026a,454.550535253769,454.48613208328,451.616362407652,451.267832288978,454.8420627869,455.795664292799,432.493697586252,423.856562307348,428.113126445389,423.895721364748,424.443217673988,420.646735732641,388.408704831437,390.49049933796,387.139290850938,389.191798542565
voc027a,450.347135159345,449.17196324472,451.712999466453,439.663112751436,450.339240516822,449.670845383619,346.131086872415,348.140723363086,422.699462644716,422.759590321739,424.065328023438,401.057981771759,418.378832496181,410.775924012928,327.769747080661,329.871825868099
voc028a,688.41924825992,613.816515858261,675.674069301433,601.896901207444,685.695027050209,522.100193993282,676.876420174872,526.422419107068,496.658395331432,451.670811377244,497.531846629554,443.865504625242,386.468741313444,356.410225007135,377.75561629515,358.292609890119
voc029a,594.169167409489,585.324973107393,464.732813160164,466.613530848914,551.335296336707,491.906108129667,416.558398274587,416.594181341179,453.546198168219,432.845082354273,402.550845062485,375.99084335301,358.978869105686,357.123075939339,322.116138890951,324.250225412852
