oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus,RecoveredModel
0.941,0.166,0.11,0.007,0.238,0.059,0.182,0.014,0.063,0.005,0.018,0.001,0.063,0.022,0.035,0.003,oneAlpha_oneBeta
0.015,0.779,0.002,0.039,0.006,0.164,0,0.066,0.002,0.062,0,0.004,0.005,0.023,0,0.018,oneAlpha_twoBeta
0.015,0.002,0.861,0.135,0.007,0,0.042,0.009,0.002,0,0.023,0.007,0,0,0.004,0,twoAlpha_oneBeta
0,0.02,0.01,0.798,0.001,0.007,0.001,0.044,0,0.001,0,0.052,0,0.002,0,0.004,twoAlpha_twoBeta
0.014,0.005,0.002,0.001,0.716,0.191,0.009,0.003,0.006,0,0.005,0.001,0.029,0.015,0.012,0,twoAlphaValenced_oneBeta
0,0.012,0,0.001,0.007,0.544,0.001,0.012,0,0.004,0,0.002,0.001,0.051,0.002,0.006,twoAlphaValenced_twoBeta
0,0,0.001,0.001,0.002,0,0.734,0.17,0.001,0,0,0,0,0,0.019,0.005,fourAlpha_oneBeta
0,0,0,0,0,0.002,0.01,0.664,0,0,0,0,0,0,0,0.052,fourAlpha_twoBeta
0.014,0.005,0.001,0,0.018,0.012,0.011,0.005,0.895,0.262,0.254,0.089,0.365,0.177,0.306,0.103,oneAlpha_oneBeta_agencyBonus
0.001,0.011,0,0,0,0.008,0,0.001,0.007,0.634,0.004,0.123,0.007,0.198,0.006,0.14,oneAlpha_twoBeta_agencyBonus
0,0,0.013,0.005,0,0.001,0.003,0.002,0.014,0.005,0.677,0.153,0.008,0.004,0.049,0.015,twoAlpha_oneBeta_agencyBonus
0,0,0,0.012,0,0,0,0.003,0,0.014,0.01,0.559,0,0.012,0.004,0.049,twoAlpha_twoBeta_agencyBonus
0,0,0,0,0.005,0.004,0.002,0.001,0.01,0.005,0.008,0.002,0.52,0.178,0.061,0.042,twoAlphaValenced_oneBeta_agencyBonus
0,0,0,0,0,0.008,0,0,0,0.008,0,0.005,0.002,0.318,0.001,0.049,twoAlphaValenced_twoBeta_agencyBonus
0,0,0,0.001,0,0,0.005,0.002,0,0,0.001,0.001,0,0,0.496,0.125,fourAlpha_oneBeta_agencyBonus
0,0,0,0,0,0,0,0.004,0,0,0,0.001,0,0,0.005,0.389,fourAlpha_twoBeta_agencyBonus
