subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
voc017a,576.291416253258,582.411215977114,581.653825639823,587.738251205555,582.575151574169,588.675693678207,538.255546415077,538.666480617695,424.874099797751,431.083129254581,426.953685884536,433.394102459202,418.98245789948,425.020783640433,426.836774174891,432.980322584795
voc018a,592.310081286124,566.67178135648,541.19211732176,539.728205102274,598.042852485837,566.909451137496,513.064990448277,516.659730860301,459.520079106756,450.777994889147,450.410101414433,450.232398502561,463.138075701025,450.875912217385,438.862831107783,442.593697015632
voc019a,469.458543925807,474.967586869394,475.004604162231,480.519310667044,474.060088347444,479.846582241608,461.819181266934,456.657097633329,447.926989782487,452.869806334295,453.880902515895,458.621531094163,424.129420459555,430.36317346181,431.311733515732,436.727728164568
voc020a,433.629499997212,439.5024741903,426.196821852357,430.500837490715,439.806487257452,445.687448780999,400.478062728175,400.704433551324,390.908943405632,395.717864353977,382.987380372959,389.34238542965,381.718661908212,387.455219243863,381.500177321188,385.99492719896
voc021a,234.705751484594,240.374034105162,239.821639027197,246.580389550227,235.045209367155,241.216351089658,245.906288060763,241.773877958466,198.97881096981,205.938172414824,204.797178768151,212.09827347472,200.11802234939,206.711591658914,211.694142314515,218.574178689349
voc022a,527.902264075811,530.026698522183,525.706821917433,529.526916305787,533.382789466366,534.768631635385,432.797356834183,416.403994687953,409.038622928893,407.45021876787,414.95193429699,413.375057402581,407.321204356778,408.20121686488,346.102015081147,350.415691393121
voc023a,488.733723870536,494.873940148144,492.06251258538,498.128567040392,492.473951096393,481.231164806304,360.055964520707,351.691889606696,393.285088859541,399.374251674121,382.382769068708,387.187939477923,328.329402835774,334.741577173364,320.796314502646,326.011215075675
voc024a,795.047997984543,692.450906802428,801.290908400499,698.796467570447,798.266982200982,698.904987152647,811.062124215286,711.669889707743,270.285493272381,274.032964189419,276.700622649337,280.380574530432,276.359849559496,280.459295115198,289.101049017434,293.222827040809
voc025a,542.279368467913,544.485462925157,546.15587101197,543.503954949444,548.509634061395,550.677012902606,537.487756708368,509.018768445678,377.612233906231,384.582683458707,383.84775077473,390.841435516017,381.420286561489,388.330346705017,391.12269022129,398.064419788513
voc026a,462.877164861838,466.976076495384,464.106306819756,467.921091505116,467.332007199004,472.448923508938,453.310271606426,448.836451131556,440.603070857493,440.548980580887,441.096476890127,441.463309752814,405.061964047576,411.307073358133,412.119179675146,418.335002170808
