"subID","trial","leftBandit","rightBandit","selectedBandit","banditKeyResp","RT","accuracy"
"voc056a",1,"bandit90","bandit10","bandit10",2,2.0153,-1
"voc056a",2,"bandit50b","bandit90","bandit50b",1,2.5181,-1
"voc056a",3,"bandit50b","bandit70","bandit50b",1,2.633,-1
"voc056a",4,"bandit70","bandit30","bandit30",2,1.4723,-1
"voc056a",5,"bandit70","bandit10","bandit10",2,1.3894,-1
"voc056a",6,"bandit70","bandit90","bandit90",2,0.99097,1
"voc056a",7,"bandit50a","bandit70","bandit50a",1,0.91946,-1
"voc056a",8,"bandit50b","bandit10","bandit50b",1,0.92385,1
"voc056a",9,"bandit50a","bandit10","bandit50a",1,0.80085,1
"voc056a",10,"bandit50a","bandit30","bandit30",2,1.3928,-1
"voc056a",11,"bandit30","bandit10","bandit30",1,0.57793,1
"voc056a",12,"bandit50a","bandit50b","bandit50a",1,3.1409,0
"voc056a",13,"bandit30","bandit90","bandit90",2,1.5183,1
"voc056a",14,"bandit50a","bandit90","bandit50a",1,0.7464,-1
"voc056a",15,"bandit50b","bandit30","bandit30",2,0.41285,-1
"voc056a",16,"bandit10","bandit50b","bandit10",1,0.34173,-1
"voc056a",17,"bandit90","bandit50a","bandit50a",2,0.36197,-1
"voc056a",18,"bandit30","bandit50b","bandit50b",2,0.69335,1
"voc056a",19,"bandit70","bandit50b","bandit70",1,0.32249,1
"voc056a",20,"bandit30","bandit50a","bandit50a",2,0.31134,1
"voc056a",21,"bandit90","bandit50b","bandit90",1,0.2599,1
"voc056a",22,"bandit10","bandit30","bandit30",2,0.28334,1
"voc056a",23,"bandit50b","bandit50a","bandit50b",1,0.32946,0
"voc056a",24,"bandit70","bandit50a","bandit50a",2,1.2937,-1
"voc056a",25,"bandit30","bandit70","bandit70",2,1.0899,1
"voc056a",26,"bandit10","bandit90","bandit90",2,0.65482,1
"voc056a",27,"bandit90","bandit30","bandit90",1,0.98257,1
"voc056a",28,"bandit90","bandit70","bandit90",1,0.30403,1
"voc056a",29,"bandit10","bandit70","bandit70",2,0.81296,1
"voc056a",30,"bandit10","bandit50a","bandit50a",2,0.95708,1
"voc056a",31,"bandit70","bandit90","bandit90",2,0.30388,1
"voc056a",32,"bandit50a","bandit30","bandit50a",1,0.38183,1
"voc056a",33,"bandit50a","bandit50b","bandit50a",1,0.87165,0
"voc056a",34,"bandit50b","bandit70","bandit50b",1,1.0453,-1
"voc056a",35,"bandit50b","bandit10","bandit10",2,0.31654,-1
"voc056a",36,"bandit50a","bandit70","bandit50a",1,0.60998,-1
"voc056a",37,"bandit50b","bandit30","bandit50b",1,0.4821,1
"voc056a",38,"bandit50b","bandit90","bandit50b",1,0.68832,-1
"voc056a",39,"bandit50a","bandit10","bandit50a",1,0.89357,1
"voc056a",40,"bandit30","bandit10","bandit10",2,0.72423,-1
"voc056a",41,"bandit70","bandit30","bandit30",2,0.80756,-1
"voc056a",42,"bandit30","bandit90","bandit90",2,0.21668,1
"voc056a",43,"bandit50a","bandit90","bandit90",2,0.52979,1
"voc056a",44,"bandit90","bandit10","bandit10",2,0.62921,-1
"voc056a",45,"bandit70","bandit10","bandit70",1,0.62095,1
"voc056a",46,"bandit30","bandit50a","bandit30",1,0.34891,-1
"voc056a",47,"bandit10","bandit70","bandit70",2,1.2569,1
"voc056a",48,"bandit30","bandit50b","bandit50b",2,0.74385,1
"voc056a",49,"bandit90","bandit50a","bandit50a",2,0.36328,-1
"voc056a",50,"bandit90","bandit50b","bandit50b",2,0.69503,-1
"voc056a",51,"bandit90","bandit70","bandit70",2,0.75598,-1
"voc056a",52,"bandit10","bandit50a","bandit50a",2,0.84706,1
"voc056a",53,"bandit70","bandit50a","bandit50a",2,0.4852,-1
"voc056a",54,"bandit30","bandit70","bandit70",2,0.70021,1
"voc056a",55,"bandit90","bandit30","bandit30",2,0.39239,-1
"voc056a",56,"bandit10","bandit90","bandit90",2,1.3618,1
"voc056a",57,"bandit10","bandit30","bandit30",2,0.58032,1
"voc056a",58,"bandit50b","bandit50a","bandit50a",2,0.43769,0
"voc056a",59,"bandit10","bandit50b","bandit50b",2,0.65414,1
"voc056a",60,"bandit70","bandit50b","bandit50b",2,0.3252,-1
"voc056a",61,"bandit30","bandit90","bandit90",2,0.41015,1
"voc056a",62,"bandit50b","bandit30","bandit50b",1,0.55507,1
"voc056a",63,"bandit30","bandit10","bandit30",1,0.31743,1
"voc056a",64,"bandit50b","bandit70","bandit50b",1,0.36238,-1
"voc056a",65,"bandit50b","bandit90","bandit90",2,0.59063,1
"voc056a",66,"bandit50a","bandit10","bandit10",2,0.52724,-1
"voc056a",67,"bandit50a","bandit30","bandit50a",1,0.77145,1
"voc056a",68,"bandit50b","bandit10","bandit10",2,0.27775,-1
"voc056a",69,"bandit50a","bandit50b","bandit50b",2,0.28423,0
"voc056a",70,"bandit50a","bandit90","bandit50a",1,0.019329,-1
"voc056a",71,"bandit50a","bandit70","bandit70",2,0.32308,1
"voc056a",72,"bandit70","bandit30","bandit70",1,0.57646,1
"voc056a",73,"bandit70","bandit90","bandit70",1,0.49054,-1
"voc056a",74,"bandit70","bandit10","bandit10",2,0.3927,-1
