"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc057a",1,"bandits5050","bandit50b","bandit50a",0,2,1,6.4147,"bandit50b","bandit50a",1,1.2147,1,10,0,0,0,0,0,0,1,
"voc057a",2,"bandits9010","bandit90","bandit10",1,1,0,1.2629,"bandit10","bandit90",2,0.89264,0,1,0,0.1,0.1,0,0.1,1,1,0
"voc057a",3,"bandits7030","bandit30","bandit70",4,2,1,1.0933,"bandit70","bandit30",2,0.0002995,1,10,0,0.4,0,0.4,-0.4,-1,1,0
"voc057a",4,"bandits5050","bandit50b","bandit50a",5,2,1,1.2513,"bandit50b","bandit50a",1,0.83055,0,0,1,1,1,1,0,0,2,
"voc057a",5,"bandits9010","bandit10","bandit90",2,1,0,3.4153,"bandit10","bandit90",1,0.67672,0,2,0,0.2,0.2,0,0.2,1,2,0
"voc057a",6,"bandits7030","bandit70","bandit30",3,2,1,1.4141,"bandit30","bandit70",2,1.355,0,0,1,0.8,1,0.8,0.2,1,2,1
"voc057a",7,"bandits5050","bandit50a","bandit50b",4,2,1,2.351,"bandit50b","bandit50a",2,2.6939,1,10,0.5,0.65,0.5,0.65,-0.15,-1,3,0
"voc057a",8,"bandits7030","bandit70","bandit30",0,2,1,4.0833,"bandit70","bandit30",1,3.4036,0,0,1,0.5,1,0.5,0.5,1,3,1
"voc057a",9,"bandits9010","bandit10","bandit90",6,2,1,0.10616,"bandit90","bandit10",2,1.4615,1,10,0,0.6,0,0.6,-0.6,-1,3,0
"voc057a",10,"bandits9010","bandit90","bandit10",3,2,1,27.7072,"bandit10","bandit90",2,1.7302,0,0,1,0.8,1,0.8,0.2,1,4,1
"voc057a",11,"bandits5050","bandit50a","bandit50b",6,2,1,1.3586,"bandit50b","bandit50a",2,0.25489,0,0,0.66667,0.93333,0.66667,0.93333,-0.26667,-1,4,0
"voc057a",12,"bandits7030","bandit30","bandit70",6,2,1,1.8386,"bandit30","bandit70",1,1.5397,1,10,0.5,0.85,0.5,0.85,-0.35,-1,4,0
"voc057a",13,"bandits9010","bandit10","bandit90",5,2,1,1.2141,"bandit10","bandit90",1,2.3319,0,0,1,1,1,1,0,0,5,
"voc057a",14,"bandits5050","bandit50a","bandit50b",1,2,1,1.5346,"bandit50b","bandit50a",2,1.8152,0,0,0.5,0.35,0.5,0.35,0.15,1,5,1
"voc057a",15,"bandits7030","bandit30","bandit70",2,2,1,1.8544,"bandit30","bandit70",1,2.6029,0,0,0.5,0.7,0.5,0.7,-0.2,-1,5,0
"voc057a",16,"bandits5050","bandit50b","bandit50a",3,2,1,0.47468,"bandit50a","bandit50b",2,0.58279,0,0,0.4,0.5,0.4,0.5,-0.1,-1,6,0
"voc057a",17,"bandits9010","bandit90","bandit10",4,2,1,0.7358,"bandit90","bandit10",1,1.5701,1,10,1,0.9,1,0.9,0.1,1,6,1
"voc057a",18,"bandits7030","bandit30","bandit70",1,2,1,1.4438,"bandit30","bandit70",1,4.9218,0,0,0.5,0.51667,0.5,0.51667,-0.016667,-1,6,0
"voc057a",19,"bandits7030","bandit70","bandit30",5,2,1,0.4336,"bandit70","bandit30",1,10.7507,1,10,0.5,0.875,0.5,0.875,-0.375,-1,7,0
"voc057a",20,"bandits5050","bandit50a","bandit50b",2,2,1,2.3403,"bandit50b","bandit50a",2,2.0049,0,0,0.4,0.4,0.4,0.4,0,0,7,
"voc057a",21,"bandits9010","bandit10","bandit90",0,2,1,0.78795,"bandit10","bandit90",1,1.5317,0,0,1,0.5,1,0.5,0.5,1,7,1
"voc057a",22,"bandits9010","bandit90","bandit10",3,2,1,0.45409,"bandit10","bandit90",2,0.932,0,0,1,0.8,1,0.8,0.2,1,8,1
"voc057a",23,"bandits7030","bandit70","bandit30",6,2,1,0.41605,"bandit30","bandit70",2,1.3661,0,0,0.66667,1.0583,0.66667,1.0583,-0.39167,-1,8,0
"voc057a",24,"bandits5050","bandit50a","bandit50b",2,2,1,0.41633,"bandit50b","bandit50a",2,2.2774,1,10,0.33333,0.36667,0.33333,0.36667,-0.033333,-1,8,0
"voc057a",25,"bandits5050","bandit50b","bandit50a",3,2,1,0.95482,"bandit50a","bandit50b",2,0.50802,1,10,0.42857,0.51429,0.42857,0.51429,-0.085714,-1,9,0
"voc057a",26,"bandits9010","bandit90","bandit10",5,2,1,0.66486,"bandit10","bandit90",2,0.61323,0,0,1,1,1,1,0,0,9,
"voc057a",27,"bandits7030","bandit70","bandit30",4,2,1,0.30951,"bandit70","bandit30",1,1.4645,1,10,0.66667,0.83333,0.66667,0.83333,-0.16667,-1,9,0
"voc057a",28,"bandits7030","bandit70","bandit30",1,2,1,0.67873,"bandit30","bandit70",2,0.21095,0,0,0.75,0.575,0.75,0.575,0.175,1,10,1
"voc057a",29,"bandits9010","bandit90","bandit10",6,2,1,0.97993,"bandit10","bandit90",2,0.85095,1,10,1,1.1,1,1.1,-0.1,-1,10,0
"voc057a",30,"bandits5050","bandit50b","bandit50a",1,2,1,0.53799,"bandit50b","bandit50a",1,2.0186,1,10,0.5,0.56429,0.5,0.56429,-0.064286,-1,10,0
"voc057a",31,"bandits5050","bandit50a","bandit50b",5,2,1,0.68324,"bandit50a","bandit50b",1,0.78995,1,10,0.5,1,0.5,1,-0.5,-1,11,0
"voc057a",32,"bandits7030","bandit30","bandit70",5,2,1,0.35176,"bandit30","bandit70",1,1.6653,0,0,0.75,0.95833,0.75,0.95833,-0.20833,-1,11,0
"voc057a",33,"bandits9010","bandit10","bandit90",1,2,1,0.5663,"bandit90","bandit10",2,1.2546,1,10,1,0.6625,1,0.6625,0.3375,1,11,1
"voc057a",34,"bandits7030","bandit70","bandit30",3,2,1,0.57339,"bandit70","bandit30",1,0.46925,0,0,0.75,0.74643,0.75,0.74643,0.0035714,1,12,1
