"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc060a",1,"bandits7030","bandit30","bandit70",3,2,1,1.9025,"bandit70","bandit30",2,2.2719,0,0,0,0.3,0,0.3,-0.3,0,-1,1
"voc060a",2,"bandits9010","bandit10","bandit90",2,1,0,2.252,"bandit90","bandit10",2,5.9189,1,12,0,0.2,0.2,0,0.2,0,1,1
"voc060a",3,"bandits5050","bandit50a","bandit50b",2,1,0,2.142,"bandit50a","bandit50b",1,5.1201,0,2,0,0.2,0.2,0,0.2,0,1,1
"voc060a",4,"bandits5050","bandit50a","bandit50b",6,1,0,2.0048,"bandit50b","bandit50a",2,5.2377,1,16,0,0.6,0.6,0,0.6,0,1,2
"voc060a",5,"bandits9010","bandit10","bandit90",0,2,1,1.9106,"bandit90","bandit10",2,1.673,1,10,1,0.5,1,0.5,0.5,1,1,2
"voc060a",6,"bandits7030","bandit70","bandit30",1,2,1,2.6631,"bandit30","bandit70",2,1.4977,0,0,0,0.1,0,0.1,-0.1,0,-1,2
"voc060a",7,"bandits5050","bandit50b","bandit50a",5,1,0,1.7261,"bandit50a","bandit50b",2,2.8019,0,5,1,1,1,1,0,,0,3
"voc060a",8,"bandits9010","bandit10","bandit90",4,1,0,1.1824,"bandit10","bandit90",1,2.3181,0,4,1,0.9,0.9,1,-0.1,1,-1,3
"voc060a",9,"bandits7030","bandit30","bandit70",6,1,0,1.4635,"bandit30","bandit70",1,1.773,1,16,0,0.6,0.6,0,0.6,0,1,3
"voc060a",10,"bandits9010","bandit90","bandit10",3,2,1,2.2591,"bandit10","bandit90",2,2.2791,0,0,1,0.8,1,0.8,0.2,1,1,4
"voc060a",11,"bandits5050","bandit50a","bandit50b",0,2,1,1.1167,"bandit50b","bandit50a",2,1.4542,0,0,1,0.5,1,0.5,0.5,1,1,4
"voc060a",12,"bandits7030","bandit70","bandit30",5,1,0,1.5016,"bandit70","bandit30",1,3.0326,1,15,0.5,0.75,0.75,0.5,0.25,0,1,4
"voc060a",13,"bandits9010","bandit90","bandit10",1,2,1,1.3797,"bandit90","bandit10",1,2.6674,0,0,1,0.6,1,0.6,0.4,1,1,5
"voc060a",14,"bandits7030","bandit70","bandit30",0,2,1,3.3356,"bandit30","bandit70",2,3.6235,1,10,0.5,0.5,0.5,0.5,0,,0,5
"voc060a",15,"bandits5050","bandit50a","bandit50b",1,2,1,1.2693,"bandit50b","bandit50a",2,1.6084,0,0,0.5,0.35,0.5,0.35,0.15,1,1,5
"voc060a",16,"bandits9010","bandit10","bandit90",5,1,0,1.6492,"bandit90","bandit10",2,4.5997,1,15,0.66667,0.83333,0.83333,0.66667,0.16667,0,1,6
"voc060a",17,"bandits7030","bandit70","bandit30",4,1,0,1.8268,"bandit30","bandit70",2,3.7794,0,4,0.66667,0.98333,0.98333,0.66667,0.31667,0,1,6
"voc060a",18,"bandits5050","bandit50a","bandit50b",3,2,1,2.7426,"bandit50b","bandit50a",2,0.91011,1,10,0.33333,0.46667,0.33333,0.46667,-0.13333,0,-1,6
"voc060a",19,"bandits7030","bandit30","bandit70",2,2,1,1.0105,"bandit70","bandit30",2,2.3061,0,0,0.5,0.7,0.5,0.7,-0.2,0,-1,7
"voc060a",20,"bandits5050","bandit50a","bandit50b",4,1,0,2.4623,"bandit50b","bandit50a",2,2.4752,0,4,0.5,0.65,0.65,0.5,0.15,0,1,7
"voc060a",21,"bandits9010","bandit90","bandit10",6,1,0,1.7091,"bandit10","bandit90",2,1.6974,0,6,0.75,0.975,0.975,0.75,0.225,0,1,7
"voc060a",22,"bandits7030","bandit70","bandit30",4,2,1,0.84265,"bandit30","bandit70",2,2.264,0,0,0.5,0.81667,0.5,0.81667,-0.31667,0,-1,8
"voc060a",23,"bandits9010","bandit90","bandit10",6,1,0,7.7815,"bandit90","bandit10",1,0.80145,1,16,0.75,0.975,0.975,0.75,0.225,0,1,8
"voc060a",24,"bandits5050","bandit50a","bandit50b",6,1,0,4.9431,"bandit50a","bandit50b",1,0.71181,1,16,0.4,0.8,0.8,0.4,0.4,0,1,8
"voc060a",25,"bandits7030","bandit70","bandit30",2,1,0,3.0498,"bandit70","bandit30",1,0.69423,0,2,0.4,0.56667,0.56667,0.4,0.16667,0,1,9
"voc060a",26,"bandits9010","bandit10","bandit90",2,2,1,5.2797,"bandit90","bandit10",2,0.79268,1,10,0.8,0.6,0.8,0.6,0.2,1,1,9
"voc060a",27,"bandits5050","bandit50a","bandit50b",4,1,0,5.7389,"bandit50b","bandit50a",2,0.29177,1,14,0.4,0.76667,0.76667,0.4,0.36667,0,1,9
"voc060a",28,"bandits5050","bandit50b","bandit50a",3,2,1,3.7102,"bandit50b","bandit50a",1,0.38076,0,0,0.5,0.71667,0.5,0.71667,-0.21667,0,-1,10
"voc060a",29,"bandits9010","bandit10","bandit90",1,2,1,2.623,"bandit90","bandit10",2,0.3486,1,10,0.83333,0.51667,0.83333,0.51667,0.31667,1,1,10
"voc060a",30,"bandits7030","bandit70","bandit30",0,2,1,3.0164,"bandit70","bandit30",1,1.1729,1,10,0.4,0.325,0.4,0.325,0.075,1,1,10
"voc060a",31,"bandits5050","bandit50a","bandit50b",5,1,0,4.3504,"bandit50b","bandit50a",2,0.96731,1,15,0.42857,0.88095,0.88095,0.42857,0.45238,0,1,11
"voc060a",32,"bandits7030","bandit30","bandit70",1,2,1,4.293,"bandit70","bandit30",2,0.57452,1,10,0.4,0.5,0.4,0.5,-0.1,0,-1,11
"voc060a",33,"bandits9010","bandit10","bandit90",0,2,1,2.346,"bandit90","bandit10",2,0.93778,1,10,0.85714,0.42857,0.85714,0.42857,0.42857,1,1,11
"voc060a",34,"bandits7030","bandit30","bandit70",5,1,0,4.2454,"bandit70","bandit30",2,0.74457,1,15,0.5,0.95,0.95,0.5,0.45,0,1,12
"voc060a",35,"bandits5050","bandit50a","bandit50b",1,2,1,4.8886,"bandit50b","bandit50a",2,0.32062,1,10,0.5,0.51667,0.5,0.51667,-0.016667,0,-1,12
"voc060a",36,"bandits9010","bandit90","bandit10",3,2,1,2.6221,"bandit90","bandit10",1,0.32223,1,10,0.875,0.7375,0.875,0.7375,0.1375,1,1,12
"voc060a",37,"bandits5050","bandit50a","bandit50b",0,2,1,2.6637,"bandit50b","bandit50a",2,0.32975,1,10,0.55556,0.44444,0.55556,0.44444,0.11111,1,1,13
"voc060a",38,"bandits9010","bandit90","bandit10",4,2,1,3.0376,"bandit90","bandit10",1,0.29828,1,10,0.88889,0.84444,0.88889,0.84444,0.044444,1,1,13
"voc060a",39,"bandits7030","bandit30","bandit70",3,2,1,3.5743,"bandit70","bandit30",2,0.34162,1,10,0.57143,0.78571,0.57143,0.78571,-0.21429,0,-1,13
"voc060a",40,"bandits9010","bandit90","bandit10",5,2,1,3.65,"bandit90","bandit10",1,0.35591,1,10,0.9,0.95,0.9,0.95,-0.05,0,-1,14
"voc060a",41,"bandits5050","bandit50b","bandit50a",2,2,1,7.096,"bandit50b","bandit50a",1,0.25406,0,0,0.6,0.66667,0.6,0.66667,-0.066667,0,-1,14
"voc060a",42,"bandits7030","bandit30","bandit70",6,1,0,2.9493,"bandit70","bandit30",2,0.51089,1,16,0.625,1.1125,1.1125,0.625,0.4875,0,1,14
"voc060a",43,"bandits9010","bandit90","bandit10",1,2,1,2.5033,"bandit90","bandit10",1,0.25035,1,10,0.90909,0.55455,0.90909,0.55455,0.35455,1,1,15
"voc060a",44,"bandits7030","bandit30","bandit70",2,2,1,2.6492,"bandit70","bandit30",2,0.30068,1,10,0.66667,0.73333,0.66667,0.73333,-0.066667,0,-1,15
"voc060a",45,"bandits5050","bandit50a","bandit50b",4,2,1,2.6413,"bandit50b","bandit50a",2,0.30135,0,0,0.54545,0.83939,0.54545,0.83939,-0.29394,0,-1,15
"voc060a",46,"bandits9010","bandit90","bandit10",5,1,0,6.2187,"bandit90","bandit10",1,0.77551,1,15,0.91667,0.95833,0.95833,0.91667,0.041667,0,1,16
"voc060a",47,"bandits5050","bandit50b","bandit50a",3,2,1,3.9254,"bandit50b","bandit50a",1,0.26919,1,10,0.5,0.71667,0.5,0.71667,-0.21667,0,-1,16
"voc060a",48,"bandits7030","bandit70","bandit30",5,1,0,3.4217,"bandit30","bandit70",2,0.3316,0,5,0.7,1.05,1.05,0.7,0.35,0,1,16
"voc060a",49,"bandits5050","bandit50b","bandit50a",0,2,1,2.171,"bandit50b","bandit50a",1,2.0349,1,10,0.53846,0.4359,0.53846,0.4359,0.10256,1,1,17
"voc060a",50,"bandits9010","bandit10","bandit90",4,2,1,4.522,"bandit90","bandit10",2,0.30429,1,10,0.92308,0.86154,0.92308,0.86154,0.061538,1,1,17
"voc060a",51,"bandits7030","bandit70","bandit30",4,2,1,2.5269,"bandit70","bandit30",1,0.27127,1,10,0.7,0.91667,0.7,0.91667,-0.21667,0,-1,17
"voc060a",52,"bandits5050","bandit50b","bandit50a",1,2,1,3.8936,"bandit50b","bandit50a",1,0.23874,0,0,0.57143,0.55238,0.57143,0.55238,0.019048,1,1,18
"voc060a",53,"bandits7030","bandit70","bandit30",0,2,1,3.0956,"bandit70","bandit30",1,0.23253,0,0,0.72727,0.5303,0.72727,0.5303,0.19697,1,1,18
"voc060a",54,"bandits9010","bandit10","bandit90",6,1,0,6.7765,"bandit10","bandit90",1,0.5505,0,6,0.92857,1.0643,1.0643,0.92857,0.13571,0,1,18
"voc060a",55,"bandits5050","bandit50b","bandit50a",5,1,0,6.0143,"bandit50a","bandit50b",2,0.63676,1,15,0.53333,0.93333,0.93333,0.53333,0.4,0,1,19
"voc060a",56,"bandits7030","bandit70","bandit30",1,2,1,5.0156,"bandit70","bandit30",1,0.25891,1,10,0.66667,0.6,0.66667,0.6,0.066667,1,1,19
"voc060a",57,"bandits9010","bandit90","bandit10",3,2,1,2.2987,"bandit90","bandit10",1,0.40482,0,0,0.92857,0.76429,0.92857,0.76429,0.16429,1,1,19
"voc060a",58,"bandits5050","bandit50b","bandit50a",2,2,1,3.5731,"bandit50b","bandit50a",1,0.22754,0,0,0.53333,0.71667,0.53333,0.71667,-0.18333,0,-1,20
"voc060a",59,"bandits7030","bandit30","bandit70",6,1,0,3.6522,"bandit30","bandit70",1,0.64014,0,6,0.69231,1.1128,1.1128,0.69231,0.42051,0,1,20
"voc060a",60,"bandits9010","bandit90","bandit10",2,2,1,2.3168,"bandit90","bandit10",1,0.26997,1,10,0.86667,0.63333,0.86667,0.63333,0.23333,1,1,20
"voc060a",61,"bandits7030","bandit70","bandit30",3,2,1,2.6696,"bandit70","bandit30",1,0.37554,1,10,0.69231,0.78901,0.69231,0.78901,-0.096703,0,-1,21
"voc060a",62,"bandits9010","bandit10","bandit90",0,2,1,5.4022,"bandit90","bandit10",2,0.57411,1,10,0.875,0.4375,0.875,0.4375,0.4375,1,1,21
"voc060a",63,"bandits5050","bandit50a","bandit50b",6,1,0,3.921,"bandit50b","bandit50a",2,0.31422,1,16,0.5,1.1,1.1,0.5,0.6,0,1,21
"voc060a",64,"bandits7030","bandit30","bandit70",3,1,0,4.3722,"bandit70","bandit30",2,0.30775,1,13,0.71429,0.8,0.8,0.71429,0.085714,0,1,22
"voc060a",65,"bandits9010","bandit10","bandit90",2,2,1,1.7343,"bandit90","bandit10",2,1.0457,1,10,0.88235,0.64118,0.88235,0.64118,0.24118,1,1,22
"voc060a",66,"bandits5050","bandit50b","bandit50a",4,2,1,2.0841,"bandit50b","bandit50a",1,0.47866,1,10,0.52941,0.91471,0.52941,0.91471,-0.38529,0,-1,22
"voc060a",67,"bandits7030","bandit30","bandit70",2,2,1,2.6611,"bandit70","bandit30",2,0.56025,1,10,0.73333,0.70952,0.73333,0.70952,0.02381,1,1,23
"voc060a",68,"bandits9010","bandit90","bandit10",3,2,1,5.3718,"bandit90","bandit10",1,0.20906,1,10,0.88889,0.74444,0.88889,0.74444,0.14444,1,1,23
"voc060a",69,"bandits5050","bandit50a","bandit50b",1,2,1,6.6265,"bandit50b","bandit50a",2,0.26044,0,0,0.55556,0.62778,0.55556,0.62778,-0.072222,0,-1,23
"voc060a",70,"bandits5050","bandit50a","bandit50b",3,2,1,2.8125,"bandit50b","bandit50a",2,0.37644,0,0,0.52632,0.81316,0.52632,0.81316,-0.28684,0,-1,24
"voc060a",71,"bandits9010","bandit90","bandit10",5,1,0,3.0283,"bandit10","bandit90",2,0.72147,0,5,0.89474,0.94737,0.94737,0.89474,0.052632,0,1,24
"voc060a",72,"bandits7030","bandit70","bandit30",6,1,0,2.8431,"bandit30","bandit70",2,0.50532,0,6,0.75,1.1179,1.1179,0.75,0.36786,0,1,24
"voc060a",73,"bandits5050","bandit50a","bandit50b",6,1,0,2.2111,"bandit50a","bandit50b",1,0.66777,1,16,0.5,1.1,1.1,0.5,0.6,0,1,25
"voc060a",74,"bandits9010","bandit90","bandit10",0,2,1,1.5275,"bandit90","bandit10",1,0.91995,1,10,0.89474,0.44737,0.89474,0.44737,0.44737,1,1,25
"voc060a",75,"bandits7030","bandit70","bandit30",5,1,0,5.3009,"bandit70","bandit30",1,0.30174,0,5,0.75,1,1,0.75,0.25,0,1,25
"voc060a",76,"bandits9010","bandit90","bandit10",4,2,1,1.8627,"bandit90","bandit10",1,0.30687,1,10,0.9,0.85,0.9,0.85,0.05,1,1,26
"voc060a",77,"bandits7030","bandit30","bandit70",4,1,0,3.7682,"bandit30","bandit70",1,0.48834,1,14,0.70588,0.87794,0.87794,0.70588,0.17206,0,1,26
"voc060a",78,"bandits5050","bandit50a","bandit50b",5,2,1,3.1228,"bandit50b","bandit50a",2,0.6032,1,10,0.6,1.05,0.6,1.05,-0.45,0,-1,26
"voc060a",79,"bandits9010","bandit90","bandit10",1,2,1,1.5162,"bandit90","bandit10",1,0.36599,1,10,0.90476,0.55238,0.90476,0.55238,0.35238,1,1,27
"voc060a",80,"bandits5050","bandit50a","bandit50b",2,2,1,2.025,"bandit50b","bandit50a",2,0.5095,1,10,0.6,0.7619,0.6,0.7619,-0.1619,0,-1,27
"voc060a",81,"bandits7030","bandit70","bandit30",0,2,1,1.4752,"bandit70","bandit30",1,0.98257,0,0,0.70588,0.51961,0.70588,0.51961,0.18627,1,1,27
"voc060a",82,"bandits7030","bandit70","bandit30",1,2,1,2.8161,"bandit70","bandit30",1,0.25256,1,10,0.66667,0.6,0.66667,0.6,0.066667,1,1,28
"voc060a",83,"bandits9010","bandit90","bandit10",6,1,0,4.3399,"bandit90","bandit10",1,0.68483,1,16,0.90909,1.0545,1.0545,0.90909,0.14545,0,1,28
"voc060a",84,"bandits5050","bandit50a","bandit50b",0,2,1,1.0078,"bandit50b","bandit50a",2,1.59,0,0,0.6,0.57273,0.6,0.57273,0.027273,1,1,28
"voc060a",85,"bandits9010","bandit90","bandit10",0,2,1,2.3597,"bandit90","bandit10",1,0.36595,1,10,0.91304,0.45652,0.91304,0.45652,0.45652,1,1,29
"voc060a",86,"bandits5050","bandit50b","bandit50a",2,2,1,2.977,"bandit50b","bandit50a",1,0.26291,0,0,0.6,0.76087,0.6,0.76087,-0.16087,0,-1,29
"voc060a",87,"bandits7030","bandit70","bandit30",4,1,0,3.5508,"bandit70","bandit30",1,0.52766,1,14,0.68421,0.90877,0.90877,0.68421,0.22456,0,1,29
"voc060a",88,"bandits9010","bandit10","bandit90",3,2,1,2.4564,"bandit90","bandit10",2,0.85955,1,10,0.91667,0.75833,0.91667,0.75833,0.15833,1,1,30
"voc060a",89,"bandits7030","bandit30","bandit70",2,2,1,2.5139,"bandit70","bandit30",2,0.97137,1,10,0.7,0.71667,0.7,0.71667,-0.016667,0,-1,30
"voc060a",90,"bandits5050","bandit50b","bandit50a",1,2,1,1.6618,"bandit50b","bandit50a",1,0.30607,0,0,0.6,0.65,0.6,0.65,-0.05,0,-1,30
"voc060a",91,"bandits7030","bandit70","bandit30",3,2,1,4.7423,"bandit70","bandit30",1,2.166,1,10,0.71429,0.82381,0.71429,0.82381,-0.10952,0,-1,31
"voc060a",92,"bandits5050","bandit50b","bandit50a",4,1,0,2.3822,"bandit50a","bandit50b",2,0.67153,0,4,0.6,0.94,0.94,0.6,0.34,0,1,31
"voc060a",93,"bandits9010","bandit10","bandit90",1,2,1,0.91375,"bandit90","bandit10",2,0.85246,1,10,0.92,0.56,0.92,0.56,0.36,1,1,31
"voc060a",94,"bandits7030","bandit70","bandit30",0,2,1,0.84412,"bandit70","bandit30",1,0.67206,1,10,0.72727,0.5303,0.72727,0.5303,0.19697,1,1,32
"voc060a",95,"bandits5050","bandit50a","bandit50b",5,1,0,1.6466,"bandit50b","bandit50a",2,0.34916,1,15,0.5,0.99,0.99,0.5,0.49,0,1,32
