"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc068t",1,"bandits5050","bandit50a","bandit50b",0,2,1,1.7373,"bandit50a","bandit50b",1,1.9459,0,0,0,0,0,0,0,0,1,
"voc068t",2,"bandits9010","bandit90","bandit10",3,1,0,1.8265,"bandit10","bandit90",2,1.1776,1,13,0,0.3,0.3,0,0.3,1,1,0
"voc068t",3,"bandits7030","bandit30","bandit70",4,2,1,2.2313,"bandit70","bandit30",2,0.0003993,1,10,0,0.4,0,0.4,-0.4,-1,1,0
"voc068t",4,"bandits9010","bandit10","bandit90",6,1,0,1.2757,"bandit90","bandit10",2,1.6418,1,16,1,1.1,1.1,1,0.1,1,2,0
"voc068t",5,"bandits7030","bandit70","bandit30",2,2,1,1.6373,"bandit30","bandit70",2,0.00020247,1,10,1,0.7,1,0.7,0.3,1,2,1
"voc068t",6,"bandits5050","bandit50b","bandit50a",3,2,1,1.0907,"bandit50b","bandit50a",1,2.3499,0,0,0,0.3,0,0.3,-0.3,-1,2,0
"voc068t",7,"bandits5050","bandit50b","bandit50a",6,2,1,1.1592,"bandit50a","bandit50b",2,1.9923,0,0,0,0.6,0,0.6,-0.6,-1,3,0
"voc068t",8,"bandits9010","bandit10","bandit90",0,1,0,0.02452,"bandit10","bandit90",1,2.393,0,0,1,1,1,1,0,0,3,
"voc068t",9,"bandits7030","bandit70","bandit30",6,2,1,2.2456,"bandit30","bandit70",2,1.8726,0,0,1,1.6,1,1.6,-0.6,-1,3,0
"voc068t",10,"bandits7030","bandit30","bandit70",0,2,1,1.5273,"bandit70","bandit30",2,0.00017774,1,10,1,0.75,1,0.75,0.25,1,4,1
"voc068t",11,"bandits9010","bandit90","bandit10",4,1,0,5.4094,"bandit90","bandit10",1,1.3591,1,14,1,1.15,1.15,1,0.15,1,4,0
"voc068t",12,"bandits5050","bandit50b","bandit50a",2,2,1,1.3572,"bandit50b","bandit50a",1,1.1744,0,0,0,0.2,0,0.2,-0.2,-1,4,0
"voc068t",13,"bandits9010","bandit10","bandit90",2,2,1,2.7201,"bandit90","bandit10",2,1.0331,1,10,1,0.95,1,0.95,0.05,1,5,1
"voc068t",14,"bandits7030","bandit30","bandit70",1,2,1,1.3923,"bandit30","bandit70",1,1.0141,1,10,1,0.85,1,0.85,0.15,1,5,1
"voc068t",15,"bandits5050","bandit50a","bandit50b",5,1,0,1.4322,"bandit50b","bandit50a",2,2.9977,1,15,0,0.5,0.5,0,0.5,1,5,0
"voc068t",16,"bandits5050","bandit50a","bandit50b",4,1,0,4.0022,"bandit50a","bandit50b",1,0.72938,1,14,0.33333,0.56667,0.56667,0.33333,0.23333,1,6,0
"voc068t",17,"bandits7030","bandit30","bandit70",5,2,1,1.9373,"bandit30","bandit70",1,1.018,0,0,1,1.3333,1,1.3333,-0.33333,-1,6,0
"voc068t",18,"bandits9010","bandit90","bandit10",5,2,1,1.6184,"bandit10","bandit90",2,0.00017853,0,0,1,1.25,1,1.25,-0.25,-1,6,0
"voc068t",19,"bandits9010","bandit90","bandit10",1,2,1,1.7375,"bandit90","bandit10",1,0.76163,1,10,1,0.76667,1,0.76667,0.23333,1,7,1
"voc068t",20,"bandits5050","bandit50b","bandit50a",1,2,1,2.332,"bandit50b","bandit50a",1,0.63544,1,10,0.33333,0.43333,0.33333,0.43333,-0.1,-1,7,0
"voc068t",21,"bandits7030","bandit70","bandit30",3,2,1,1.2282,"bandit30","bandit70",2,1.2887,1,10,1,1.05,1,1.05,-0.05,-1,7,0
"voc068t",22,"bandits5050","bandit50b","bandit50a",1,2,1,2.063,"bandit50a","bandit50b",2,0.00018047,1,10,0.5,0.51667,0.5,0.51667,-0.016667,-1,8,0
"voc068t",23,"bandits7030","bandit30","bandit70",6,1,0,0.72273,"bandit70","bandit30",2,3.015,1,16,1,1.4,1.4,1,0.4,1,8,0
"voc068t",24,"bandits9010","bandit10","bandit90",3,2,1,1.2429,"bandit90","bandit10",2,0.00017905,1,10,1,0.96667,1,0.96667,0.033333,1,8,1
"voc068t",25,"bandits9010","bandit90","bandit10",4,2,1,2.3386,"bandit10","bandit90",2,0.00017993,0,0,1,1.0667,1,1.0667,-0.066667,-1,9,0
"voc068t",26,"bandits5050","bandit50b","bandit50a",4,2,1,2.1394,"bandit50b","bandit50a",1,0.66742,1,10,0.5,0.9,0.5,0.9,-0.4,-1,9,0
"voc068t",27,"bandits7030","bandit30","bandit70",1,2,1,1.0179,"bandit70","bandit30",2,0.00018009,1,10,1,0.9,1,0.9,0.1,1,9,1
"voc068t",28,"bandits7030","bandit30","bandit70",0,2,1,0.70528,"bandit30","bandit70",1,0.87605,0,0,1,0.8,1,0.8,0.2,1,10,1
"voc068t",29,"bandits9010","bandit10","bandit90",5,2,1,1.1151,"bandit90","bandit10",2,0.86882,0,0,1,1.125,1,1.125,-0.125,-1,10,0
"voc068t",30,"bandits5050","bandit50b","bandit50a",2,2,1,1.5306,"bandit50b","bandit50a",1,0.5154,0,0,0.6,0.75,0.6,0.75,-0.15,-1,10,0
"voc068t",31,"bandits5050","bandit50a","bandit50b",6,1,0,0.76028,"bandit50b","bandit50a",2,1.4508,0,6,0.5,1.1,1.1,0.5,0.6,1,11,0
"voc068t",32,"bandits7030","bandit70","bandit30",3,2,1,2.1578,"bandit70","bandit30",1,2.0783,0,0,1,1.05,1,1.05,-0.05,-1,11,0
"voc068t",33,"bandits9010","bandit90","bandit10",1,1,0,0.00018262,"bandit90","bandit10",1,1.0374,1,11,0.83333,0.64167,0.64167,0.83333,-0.19167,-1,11,1
"voc068t",34,"bandits5050","bandit50b","bandit50a",3,2,1,1.0742,"bandit50a","bandit50b",2,0.65285,0,0,0.5,0.76429,0.5,0.76429,-0.26429,-1,12,0
"voc068t",35,"bandits7030","bandit30","bandit70",4,2,1,1.2595,"bandit70","bandit30",2,0.00018026,1,10,0.8,1.05,0.8,1.05,-0.25,-1,12,0
"voc068t",36,"bandits9010","bandit10","bandit90",6,2,1,0.81734,"bandit90","bandit10",2,0.00017997,1,10,0.85714,1.1536,0.85714,1.1536,-0.29643,-1,12,0
"voc068t",37,"bandits7030","bandit30","bandit70",5,2,1,0.88885,"bandit70","bandit30",2,1.6686,0,0,0.83333,1.1667,0.83333,1.1667,-0.33333,-1,13,0
