"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc075c",1,"bandits7030","bandit70","bandit30",0,2,1,2.3259,"bandit30","bandit70",2,1.4785,0,0,0,0,0,0,0,0,1,
"voc075c",2,"bandits9010","bandit10","bandit90",5,2,1,1.5626,"bandit90","bandit10",2,0.00043317,1,10,0,0.5,0,0.5,-0.5,-1,1,0
"voc075c",3,"bandits5050","bandit50a","bandit50b",3,2,1,1.2683,"bandit50b","bandit50a",2,0.00017776,1,10,0,0.3,0,0.3,-0.3,-1,1,0
"voc075c",4,"bandits7030","bandit30","bandit70",2,2,1,1.0813,"bandit30","bandit70",1,0.44363,1,10,0,0.2,0,0.2,-0.2,-1,2,0
"voc075c",5,"bandits5050","bandit50b","bandit50a",6,2,1,0.83513,"bandit50a","bandit50b",2,0.865,1,10,1,1.1,1,1.1,-0.1,-1,2,0
"voc075c",6,"bandits9010","bandit10","bandit90",4,2,1,0.00013361,"bandit10","bandit90",1,1.015,0,0,1,0.9,1,0.9,0.1,1,2,1
"voc075c",7,"bandits5050","bandit50a","bandit50b",2,2,1,0.31787,"bandit50a","bandit50b",1,1.081,0,0,1,1.2,1,1.2,-0.2,-1,3,0
"voc075c",8,"bandits9010","bandit10","bandit90",3,2,1,0.000177,"bandit90","bandit10",2,0.87702,1,10,1,0.8,1,0.8,0.2,1,3,1
"voc075c",9,"bandits7030","bandit70","bandit30",1,2,1,0.060123,"bandit70","bandit30",1,1.0745,0,0,0.5,0.35,0.5,0.35,0.15,1,3,1
"voc075c",10,"bandits9010","bandit10","bandit90",2,2,1,0.72763,"bandit90","bandit10",2,0.00017696,1,10,1,0.7,1,0.7,0.3,1,4,1
"voc075c",11,"bandits7030","bandit30","bandit70",5,2,1,1.0839,"bandit70","bandit30",2,0.00017979,0,0,0.5,0.75,0.5,0.75,-0.25,-1,4,0
"voc075c",12,"bandits5050","bandit50b","bandit50a",0,2,1,0.81642,"bandit50a","bandit50b",2,0.29356,0,0,1,0.75,1,0.75,0.25,1,4,1
"voc075c",13,"bandits5050","bandit50a","bandit50b",1,2,1,1.189,"bandit50b","bandit50a",2,0.00019633,0,0,1,0.76667,1,0.76667,0.23333,1,5,1
"voc075c",14,"bandits7030","bandit30","bandit70",3,1,0,0.70046,"bandit70","bandit30",2,0.96738,0,3,0.5,0.55,0.55,0.5,0.05,1,5,0
"voc075c",15,"bandits9010","bandit90","bandit10",0,1,0,1.3355,"bandit10","bandit90",2,0.58763,0,0,1,0.5,0.5,1,-0.5,-1,5,1
"voc075c",16,"bandits7030","bandit70","bandit30",4,1,0,0.00016908,"bandit30","bandit70",2,1.4758,1,14,0.5,0.65,0.65,0.5,0.15,1,6,0
"voc075c",17,"bandits5050","bandit50b","bandit50a",5,1,0,2.1974,"bandit50a","bandit50b",2,0.58261,1,15,0.5,0.91667,0.91667,0.5,0.41667,1,6,0
"voc075c",18,"bandits9010","bandit90","bandit10",1,1,0,1.3573,"bandit90","bandit10",1,0.6947,1,11,1,0.6,0.6,1,-0.4,-1,6,1
"voc075c",19,"bandits5050","bandit50a","bandit50b",4,1,0,0.79328,"bandit50a","bandit50b",1,0.69771,0,4,0.5,0.9,0.9,0.5,0.4,1,7,0
"voc075c",20,"bandits9010","bandit10","bandit90",6,1,0,1.1003,"bandit90","bandit10",2,0.52029,1,16,1,1.1,1.1,1,0.1,1,7,0
"voc075c",21,"bandits7030","bandit70","bandit30",6,1,0,0.92166,"bandit70","bandit30",1,0.53402,1,16,0.66667,0.93333,0.93333,0.66667,0.26667,1,7,0
"voc075c",22,"bandits9010","bandit10","bandit90",4,1,0,0.65431,"bandit10","bandit90",1,0.63817,0,4,1,0.9,0.9,1,-0.1,-1,8,1
"voc075c",23,"bandits5050","bandit50b","bandit50a",0,1,0,0.97869,"bandit50b","bandit50a",1,0.69164,0,0,0.5,0.45,0.45,0.5,-0.05,-1,8,1
"voc075c",24,"bandits7030","bandit70","bandit30",6,1,0,0.40705,"bandit30","bandit70",2,0.4953,0,6,0.66667,1.0583,1.0583,0.66667,0.39167,1,8,0
"voc075c",25,"bandits9010","bandit10","bandit90",0,1,0,0.99338,"bandit90","bandit10",2,0.72154,1,10,1,0.5,0.5,1,-0.5,-1,9,1
"voc075c",26,"bandits5050","bandit50b","bandit50a",2,1,0,0.715,"bandit50b","bandit50a",1,0.54297,1,12,0.4,0.56667,0.56667,0.4,0.16667,1,9,0
"voc075c",27,"bandits7030","bandit70","bandit30",3,1,0,0.0001782,"bandit30","bandit70",2,0.71276,0,3,0.5,0.675,0.675,0.5,0.175,1,9,0
"voc075c",28,"bandits7030","bandit70","bandit30",4,2,1,0.0092782,"bandit70","bandit30",1,1.4727,1,10,0.4,0.725,0.4,0.725,-0.325,-1,10,0
"voc075c",29,"bandits5050","bandit50a","bandit50b",5,1,0,0.6226,"bandit50a","bandit50b",1,0.61384,1,15,0.5,0.95,0.95,0.5,0.45,1,10,0
"voc075c",30,"bandits9010","bandit90","bandit10",3,1,0,0.00012514,"bandit10","bandit90",2,0.48606,0,3,1,0.8,0.8,1,-0.2,-1,10,1
"voc075c",31,"bandits9010","bandit90","bandit10",5,1,0,0.68875,"bandit10","bandit90",2,0.60486,0,5,1,1,1,1,0,0,11,
"voc075c",32,"bandits5050","bandit50a","bandit50b",6,2,1,0.099058,"bandit50b","bandit50a",2,1.3111,1,10,0.5,1.1,0.5,1.1,-0.6,-1,11,0
"voc075c",33,"bandits7030","bandit30","bandit70",1,2,1,0.020044,"bandit70","bandit30",2,1.1778,1,10,0.4,0.5,0.4,0.5,-0.1,-1,11,0
"voc075c",34,"bandits5050","bandit50b","bandit50a",4,1,0,0.43569,"bandit50b","bandit50a",1,0.49104,0,4,0.6,0.95,0.95,0.6,0.35,1,12,0
"voc075c",35,"bandits7030","bandit30","bandit70",2,1,0,0.15745,"bandit70","bandit30",2,0.44149,1,12,0.5,0.65,0.65,0.5,0.15,1,12,0
"voc075c",36,"bandits9010","bandit90","bandit10",1,2,1,0.00019214,"bandit10","bandit90",2,0.88497,0,0,1,0.6,1,0.6,0.4,1,12,1
"voc075c",37,"bandits7030","bandit70","bandit30",0,2,1,0.0001785,"bandit70","bandit30",1,1.0582,1,10,0.57143,0.48571,0.57143,0.48571,0.085714,1,13,1
"voc075c",38,"bandits9010","bandit90","bandit10",6,1,0,0.74477,"bandit90","bandit10",1,0.53293,1,16,1,1.1,1.1,1,0.1,1,13,0
