"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",1,"bandits5050","bandit50a","bandit50b",3,1,0,5.5723,"bandit50b","bandit50a",2,6.312,1,13,0,0.3,0.3,0,0.3,0,1,1
"voc085c",2,"bandits7030","bandit30","bandit70",1,2,1,7.4715,"bandit30","bandit70",1,7.6224,0,0,0,0.1,0,0.1,-0.1,0,-1,1
"voc085c",3,"bandits9010","bandit10","bandit90",1,2,1,22.2858,"bandit90","bandit10",2,2.1489,1,10,0,0.1,0,0.1,-0.1,0,-1,1
"voc085c",4,"bandits9010","bandit10","bandit90",2,2,1,6.2291,"bandit90","bandit10",2,1.7701,0,0,1,0.7,1,0.7,0.3,1,1,2
"voc085c",5,"bandits7030","bandit70","bandit30",0,2,1,13.6585,"bandit30","bandit70",2,4.1916,0,0,0,0,0,0,0,,0,2
"voc085c",6,"bandits5050","bandit50b","bandit50a",4,1,0,1.6471,"bandit50a","bandit50b",2,1.8825,0,4,1,0.9,0.9,1,-0.1,1,-1,2
"voc085c",7,"bandits9010","bandit10","bandit90",6,1,0,2.2491,"bandit10","bandit90",1,2.2215,0,6,0.5,0.85,0.85,0.5,0.35,0,1,3
"voc085c",8,"bandits7030","bandit30","bandit70",6,1,0,9.3414,"bandit30","bandit70",1,2.8553,0,6,0,0.6,0.6,0,0.6,0,1,3
"voc085c",9,"bandits5050","bandit50b","bandit50a",6,2,1,6.4175,"bandit50a","bandit50b",2,6.7532,0,0,1,1.1,1,1.1,-0.1,0,-1,3
"voc085c",10,"bandits9010","bandit10","bandit90",4,1,0,4.0591,"bandit10","bandit90",1,1.1373,0,4,0.5,0.65,0.65,0.5,0.15,0,1,4
"voc085c",11,"bandits7030","bandit70","bandit30",4,2,1,1.9508,"bandit70","bandit30",1,2.9004,1,10,0,0.4,0,0.4,-0.4,0,-1,4
"voc085c",12,"bandits5050","bandit50a","bandit50b",1,2,1,1.7076,"bandit50b","bandit50a",2,2.0507,0,0,1,0.6,1,0.6,0.4,1,1,4
"voc085c",13,"bandits9010","bandit90","bandit10",5,1,0,0.66163,"bandit90","bandit10",1,1.1726,1,15,0.5,0.75,0.75,0.5,0.25,0,1,5
"voc085c",14,"bandits5050","bandit50a","bandit50b",5,2,1,2.6153,"bandit50b","bandit50a",2,2.0407,1,10,0.5,0.75,0.5,0.75,-0.25,0,-1,5
"voc085c",15,"bandits7030","bandit30","bandit70",5,1,0,1.2888,"bandit30","bandit70",1,0.77662,0,5,1,1,1,1,0,,0,5
"voc085c",16,"bandits5050","bandit50a","bandit50b",0,2,1,0.69091,"bandit50b","bandit50a",2,2.1637,0,0,0.66667,0.33333,0.66667,0.33333,0.33333,1,1,6
"voc085c",17,"bandits7030","bandit30","bandit70",3,2,1,2.313,"bandit30","bandit70",1,1.1159,1,10,1,0.8,1,0.8,0.2,1,1,6
"voc085c",18,"bandits9010","bandit10","bandit90",3,2,1,0.20014,"bandit10","bandit90",1,3.7998,0,0,0.66667,0.63333,0.66667,0.63333,0.033333,1,1,6
"voc085c",19,"bandits7030","bandit30","bandit70",2,2,1,0.00013691,"bandit30","bandit70",1,17.5982,0,0,1,0.8,1,0.8,0.2,1,1,7
"voc085c",20,"bandits9010","bandit10","bandit90",0,2,1,0.00017967,"bandit90","bandit10",2,2.4734,1,10,0.66667,0.33333,0.66667,0.33333,0.33333,1,1,7
"voc085c",21,"bandits5050","bandit50b","bandit50a",2,1,0,3.3224,"bandit50b","bandit50a",1,0.97862,0,2,0.5,0.45,0.45,0.5,-0.05,1,-1,7
"voc085c",22,"bandits5050","bandit50b","bandit50a",3,2,1,1.1439,"bandit50a","bandit50b",2,8.2076,1,10,0.4,0.5,0.4,0.5,-0.1,0,-1,8
"voc085c",23,"bandits7030","bandit30","bandit70",1,2,1,9.3375,"bandit70","bandit30",2,1.9518,0,0,1,0.68333,1,0.68333,0.31667,1,1,8
"voc085c",24,"bandits9010","bandit90","bandit10",5,1,0,4.443,"bandit90","bandit10",1,1.2741,1,15,0.75,0.875,0.875,0.75,0.125,0,1,8
"voc085c",25,"bandits7030","bandit30","bandit70",4,2,1,4.3392,"bandit70","bandit30",2,1.081,1,10,0.5,0.73333,0.5,0.73333,-0.23333,0,-1,9
"voc085c",26,"bandits9010","bandit10","bandit90",2,2,1,4.1678,"bandit10","bandit90",1,0.95223,0,0,0.8,0.6,0.8,0.6,0.2,1,1,9
"voc085c",27,"bandits5050","bandit50b","bandit50a",0,2,1,6.4123,"bandit50b","bandit50a",1,4.944,1,10,0.4,0.36667,0.4,0.36667,0.033333,1,1,9
"voc085c",28,"bandits5050","bandit50b","bandit50a",6,1,0,3.3585,"bandit50a","bandit50b",2,0.94693,1,16,0.5,1.0167,1.0167,0.5,0.51667,0,1,10
"voc085c",29,"bandits9010","bandit90","bandit10",3,2,1,3.1701,"bandit90","bandit10",1,0.70669,1,10,0.8,0.7,0.8,0.7,0.1,1,1,10
"voc085c",30,"bandits7030","bandit30","bandit70",0,2,1,2.4681,"bandit70","bandit30",2,1.7194,0,0,0.66667,0.41667,0.66667,0.41667,0.25,1,1,10
"voc085c",31,"bandits9010","bandit90","bandit10",4,2,1,6.0632,"bandit90","bandit10",1,2.0427,1,10,0.83333,0.81667,0.83333,0.81667,0.016667,1,1,11
"voc085c",32,"bandits5050","bandit50b","bandit50a",4,1,0,2.0648,"bandit50b","bandit50a",1,0.78095,0,4,0.5,0.9,0.9,0.5,0.4,0,1,11
"voc085c",33,"bandits7030","bandit30","bandit70",3,2,1,0.96564,"bandit70","bandit30",2,4.4729,1,10,0.5,0.63333,0.5,0.63333,-0.13333,0,-1,11
"voc085c",34,"bandits7030","bandit30","bandit70",6,1,0,1.9264,"bandit70","bandit30",2,0.83649,1,16,0.6,0.98333,0.98333,0.6,0.38333,0,1,12
"voc085c",35,"bandits5050","bandit50b","bandit50a",1,2,1,1.0834,"bandit50b","bandit50a",1,4.0466,1,10,0.5,0.56429,0.5,0.56429,-0.064286,0,-1,12
"voc085c",36,"bandits9010","bandit90","bandit10",6,1,0,1.3373,"bandit10","bandit90",2,0.64125,0,6,0.85714,1.0286,1.0286,0.85714,0.17143,0,1,12
"voc085c",37,"bandits9010","bandit90","bandit10",0,2,1,0.80624,"bandit90","bandit10",1,0.91412,1,10,0.85714,0.42857,0.85714,0.42857,0.42857,1,1,13
"voc085c",38,"bandits7030","bandit70","bandit30",5,1,0,2.5267,"bandit70","bandit30",1,0.8832,1,15,0.66667,0.91667,0.91667,0.66667,0.25,0,1,13
"voc085c",39,"bandits5050","bandit50b","bandit50a",2,2,1,4.2867,"bandit50a","bandit50b",2,2.5166,1,10,0.5,0.7,0.5,0.7,-0.2,0,-1,13
"voc085c",40,"bandits7030","bandit30","bandit70",2,2,1,3.99,"bandit30","bandit70",1,2.6117,0,0,0.71429,0.64048,0.71429,0.64048,0.07381,1,1,14
"voc085c",41,"bandits5050","bandit50b","bandit50a",5,2,1,0.1324,"bandit50b","bandit50a",1,2.3021,1,10,0.6,1.05,0.6,1.05,-0.45,0,-1,14
"voc085c",42,"bandits9010","bandit90","bandit10",1,2,1,1.1239,"bandit90","bandit10",1,1.2076,1,10,0.875,0.5375,0.875,0.5375,0.3375,1,1,14
"voc085c",43,"bandits7030","bandit30","bandit70",4,2,1,2.3348,"bandit70","bandit30",2,2.6738,1,10,0.71429,0.82857,0.71429,0.82857,-0.11429,0,-1,15
"voc085c",44,"bandits5050","bandit50b","bandit50a",5,2,1,2.266,"bandit50b","bandit50a",1,1.5578,1,10,0.6,1.0778,0.6,1.0778,-0.47778,0,-1,15
"voc085c",45,"bandits9010","bandit10","bandit90",6,2,1,2.0079,"bandit10","bandit90",1,0.90316,0,0,0.88889,1.0444,0.88889,1.0444,-0.15556,0,-1,15
"voc085c",46,"bandits7030","bandit70","bandit30",5,1,0,1.9593,"bandit70","bandit30",1,1.1138,1,15,0.75,0.94643,0.94643,0.75,0.19643,0,1,16
"voc085c",47,"bandits9010","bandit90","bandit10",1,2,1,2.5959,"bandit90","bandit10",1,1.6167,1,10,0.88889,0.54444,0.88889,0.54444,0.34444,1,1,16
"voc085c",48,"bandits5050","bandit50a","bandit50b",3,2,1,5.9264,"bandit50a","bandit50b",1,5.0525,1,10,0.6,0.9,0.6,0.9,-0.3,0,-1,16
"voc085c",49,"bandits7030","bandit70","bandit30",0,2,1,3.9585,"bandit30","bandit70",2,0.00017967,1,10,0.77778,0.46032,0.77778,0.46032,0.31746,1,1,17
"voc085c",50,"bandits9010","bandit90","bandit10",0,2,1,1.9255,"bandit10","bandit90",2,6.3602,0,0,0.9,0.45,0.9,0.45,0.45,1,1,17
"voc085c",51,"bandits5050","bandit50b","bandit50a",0,2,1,0.98294,"bandit50a","bandit50b",2,2.6964,0,0,0.66667,0.63333,0.66667,0.63333,0.033333,1,1,17
"voc085c",52,"bandits9010","bandit10","bandit90",2,2,1,1.3316,"bandit90","bandit10",2,2.7397,1,10,0.9,0.65,0.9,0.65,0.25,1,1,18
"voc085c",53,"bandits5050","bandit50b","bandit50a",2,2,1,5.4366,"bandit50b","bandit50a",1,0.50234,0,0,0.6,0.78571,0.6,0.78571,-0.18571,0,-1,18
"voc085c",54,"bandits7030","bandit30","bandit70",2,2,1,3.8943,"bandit30","bandit70",1,3.5595,1,10,0.77778,0.71389,0.77778,0.71389,0.063889,1,1,18
"voc085c",55,"bandits7030","bandit30","bandit70",3,2,1,2.459,"bandit30","bandit70",1,0.46635,0,0,0.77778,0.85556,0.77778,0.85556,-0.077778,0,-1,19
"voc085c",56,"bandits9010","bandit90","bandit10",3,2,1,1.8656,"bandit10","bandit90",2,1.7599,0,0,0.90909,0.75455,0.90909,0.75455,0.15455,1,1,19
"voc085c",57,"bandits5050","bandit50a","bandit50b",1,2,1,1.6044,"bandit50b","bandit50a",2,3.68,0,0,0.57143,0.65844,0.57143,0.65844,-0.087013,0,-1,19
"voc085c",58,"bandits7030","bandit70","bandit30",6,2,1,0.45441,"bandit30","bandit70",2,0.00018041,0,0,0.77778,1.1389,0.77778,1.1389,-0.36111,0,-1,20
"voc085c",59,"bandits5050","bandit50b","bandit50a",6,1,0,1.5075,"bandit50a","bandit50b",2,1.037,0,6,0.57143,1.1357,1.1357,0.57143,0.56429,0,1,20
"voc085c",60,"bandits9010","bandit10","bandit90",4,2,1,4.5053,"bandit10","bandit90",1,5.2079,0,0,0.90909,0.85455,0.90909,0.85455,0.054545,1,1,20
"voc085c",61,"bandits7030","bandit30","bandit70",1,2,1,1.8254,"bandit30","bandit70",1,8.1705,1,10,0.77778,0.62525,0.77778,0.62525,0.15253,1,1,21
"voc085c",62,"bandits9010","bandit10","bandit90",5,2,1,1.967,"bandit90","bandit10",2,0.84933,1,10,0.90909,0.95455,0.90909,0.95455,-0.045455,0,-1,21
"voc085c",63,"bandits5050","bandit50a","bandit50b",4,1,0,1.4497,"bandit50a","bandit50b",1,1.278,0,4,0.5,0.9,0.9,0.5,0.4,0,1,21
