"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc091t",1,"bandits9010","bandit10","bandit90",2,2,1,2.9516,"bandit90","bandit10",2,2.8575,1,10,0,0.2,0,0.2,-0.2,0,-1,1
"voc091t",2,"bandits7030","bandit70","bandit30",5,1,0,2.996,"bandit70","bandit30",1,8.0334,1,15,0,0.5,0.5,0,0.5,0,1,1
"voc091t",3,"bandits5050","bandit50b","bandit50a",4,2,1,5.6785,"bandit50b","bandit50a",1,3.0297,1,10,0,0.4,0,0.4,-0.4,0,-1,1
"voc091t",4,"bandits5050","bandit50a","bandit50b",3,1,0,8.6735,"bandit50a","bandit50b",1,6.0599,0,3,1,0.8,0.8,1,-0.2,1,-1,2
"voc091t",5,"bandits7030","bandit30","bandit70",1,2,1,1.3374,"bandit70","bandit30",2,2.8692,1,10,1,0.6,1,0.6,0.4,1,1,2
"voc091t",6,"bandits9010","bandit90","bandit10",0,2,1,3.8546,"bandit10","bandit90",2,2.7652,0,0,1,0.5,1,0.5,0.5,1,1,2
"voc091t",7,"bandits5050","bandit50b","bandit50a",6,1,0,2.4277,"bandit50a","bandit50b",2,2.8442,1,16,1,1.1,1.1,1,0.1,0,1,3
"voc091t",8,"bandits9010","bandit10","bandit90",3,2,1,1.4296,"bandit10","bandit90",1,2.2515,0,0,1,0.8,1,0.8,0.2,1,1,3
"voc091t",9,"bandits7030","bandit30","bandit70",4,2,1,2.0387,"bandit70","bandit30",2,1.1496,1,10,1,0.9,1,0.9,0.1,1,1,3
"voc091t",10,"bandits9010","bandit90","bandit10",1,1,0,0.71491,"bandit10","bandit90",2,18.2648,0,1,1,0.6,0.6,1,-0.4,1,-1,4
"voc091t",11,"bandits7030","bandit70","bandit30",0,2,1,0.15794,"bandit70","bandit30",1,2.9586,0,0,1,0.5,1,0.5,0.5,1,1,4
"voc091t",12,"bandits5050","bandit50b","bandit50a",5,1,0,1.6854,"bandit50b","bandit50a",1,1.9553,0,5,1,1.25,1.25,1,0.25,0,1,4
"voc091t",13,"bandits9010","bandit10","bandit90",5,2,1,1.1449,"bandit90","bandit10",2,1.7863,1,10,1,1,1,1,0,,0,5
"voc091t",14,"bandits7030","bandit30","bandit70",2,2,1,3.1191,"bandit70","bandit30",2,1.2833,1,10,0.75,0.575,0.75,0.575,0.175,1,1,5
