"subID","trial","leftBandit","rightBandit","selectedBandit","banditKeyResp","RT","accuracy"
"voc095c",1,"bandit90","bandit10","bandit90",1,1.576,1
"voc095c",2,"bandit30","bandit10","bandit30",1,6.547,1
"voc095c",3,"bandit70","bandit30","bandit70",1,1.0023,1
"voc095c",4,"bandit50b","bandit90","bandit90",2,1.1633,1
"voc095c",5,"bandit70","bandit90","bandit90",2,1.1328,1
"voc095c",6,"bandit50a","bandit70","bandit70",2,1.0645,1
"voc095c",7,"bandit50b","bandit30","bandit50b",1,1.9354,1
"voc095c",8,"bandit50b","bandit10","bandit50b",1,0.84198,1
"voc095c",9,"bandit50a","bandit10","bandit50a",1,1.0651,1
"voc095c",10,"bandit50a","bandit30","bandit30",2,2.2233,-1
"voc095c",11,"bandit50a","bandit50b","bandit50b",2,0.94246,0
"voc095c",12,"bandit30","bandit90","bandit90",2,0.69805,1
"voc095c",13,"bandit70","bandit10","bandit70",1,1.6543,1
"voc095c",14,"bandit50b","bandit70","bandit70",2,3.0774,1
"voc095c",15,"bandit50a","bandit90","bandit90",2,1.3698,1
"voc095c",16,"bandit70","bandit50a","bandit70",1,2.4992,1
"voc095c",17,"bandit30","bandit70","bandit70",2,1.7032,1
"voc095c",18,"bandit10","bandit30","bandit30",2,2.0425,1
"voc095c",19,"bandit10","bandit70","bandit70",2,0.98592,1
"voc095c",20,"bandit30","bandit50a","bandit50a",2,3.7551,1
"voc095c",21,"bandit10","bandit50a","bandit50a",2,0.74825,1
"voc095c",22,"bandit10","bandit90","bandit90",2,0.71861,1
"voc095c",23,"bandit90","bandit50a","bandit90",1,0.82675,1
"voc095c",24,"bandit30","bandit50b","bandit50b",2,4.3082,1
"voc095c",25,"bandit90","bandit30","bandit90",1,0.74215,1
"voc095c",26,"bandit70","bandit50b","bandit70",1,1.1136,1
"voc095c",27,"bandit10","bandit50b","bandit50b",2,0.89297,1
"voc095c",28,"bandit90","bandit50b","bandit90",1,0.93095,1
"voc095c",29,"bandit90","bandit70","bandit90",1,0.93454,1
"voc095c",30,"bandit50b","bandit50a","bandit50b",1,1.8094,0
"voc095c",31,"bandit70","bandit90","bandit90",2,1.1144,1
"voc095c",32,"bandit50b","bandit10","bandit50b",1,0.83054,1
"voc095c",33,"bandit50b","bandit70","bandit50b",1,1.0369,-1
