"subID","trial","leftBandit","rightBandit","selectedBandit","banditKeyResp","RT","accuracy"
"voc097t",1,"bandit30","bandit10","bandit10",2,3.446,-1
"voc097t",2,"bandit50b","bandit10","bandit50b",1,1.2599,1
"voc097t",3,"bandit50b","bandit30","bandit30",2,1.0263,-1
"voc097t",4,"bandit70","bandit90","bandit70",1,1.4022,-1
"voc097t",5,"bandit50a","bandit90","bandit50a",1,1.1717,-1
"voc097t",6,"bandit50a","bandit10","bandit10",2,1.2924,-1
"voc097t",7,"bandit50a","bandit70","bandit70",2,1.9872,1
"voc097t",8,"bandit50a","bandit30","bandit50a",1,0.86746,1
"voc097t",9,"bandit50b","bandit70","bandit50b",1,1.1684,-1
"voc097t",10,"bandit50b","bandit90","bandit90",2,1.307,1
"voc097t",11,"bandit90","bandit10","bandit90",1,1.4,1
"voc097t",12,"bandit70","bandit30","bandit30",2,1.4077,-1
"voc097t",13,"bandit70","bandit10","bandit10",2,0.99236,-1
"voc097t",14,"bandit30","bandit90","bandit30",1,1.1219,-1
"voc097t",15,"bandit50a","bandit50b","bandit50b",2,1.0547,0
"voc097t",16,"bandit10","bandit50b","bandit10",1,0.8199,-1
"voc097t",17,"bandit10","bandit90","bandit90",2,1.1005,1
"voc097t",18,"bandit90","bandit50a","bandit90",1,1.2977,1
"voc097t",19,"bandit10","bandit50a","bandit10",1,0.78178,-1
"voc097t",20,"bandit50b","bandit50a","bandit50a",2,1.5436,0
"voc097t",21,"bandit70","bandit50a","bandit70",1,0.69051,1
"voc097t",22,"bandit10","bandit30","bandit30",2,0.70412,1
"voc097t",23,"bandit90","bandit50b","bandit50b",2,0.90927,-1
"voc097t",24,"bandit90","bandit30","bandit90",1,0.85814,1
"voc097t",25,"bandit30","bandit50b","bandit30",1,0.48071,-1
"voc097t",26,"bandit10","bandit70","bandit70",2,0.68673,1
"voc097t",27,"bandit30","bandit50a","bandit30",1,0.59617,-1
"voc097t",28,"bandit70","bandit50b","bandit70",1,0.55678,1
"voc097t",29,"bandit30","bandit70","bandit30",1,0.52068,-1
"voc097t",30,"bandit90","bandit70","bandit70",2,0.91639,-1
"voc097t",31,"bandit50a","bandit50b","bandit50b",2,0.58538,0
"voc097t",32,"bandit50b","bandit70","bandit50b",1,0.44246,-1
"voc097t",33,"bandit90","bandit10","bandit90",1,0.45778,1
"voc097t",34,"bandit30","bandit90","bandit30",1,0.3773,-1
"voc097t",35,"bandit70","bandit10","bandit10",2,0.36463,-1
"voc097t",36,"bandit50a","bandit70","bandit50a",1,0.3109,-1
"voc097t",37,"bandit50b","bandit90","bandit90",2,0.30753,1
"voc097t",38,"bandit70","bandit90","bandit90",2,0.3213,1
"voc097t",39,"bandit50b","bandit30","bandit50b",1,0.34228,1
"voc097t",40,"bandit50b","bandit10","bandit50b",1,0.40943,1
"voc097t",41,"bandit50a","bandit90","bandit50a",1,0.28185,-1
"voc097t",42,"bandit50a","bandit10","bandit50a",1,0.48883,1
"voc097t",43,"bandit50a","bandit30","bandit50a",1,0.35839,1
"voc097t",44,"bandit70","bandit30","bandit70",1,0.67281,1
"voc097t",45,"bandit30","bandit10","bandit30",1,0.27135,1
