subject_id,browser_interactions,bad_data1,missed_choices,agency_trials,forgo_trials,total_stage_1,fast_choices,bad_data2,bad_data
11669,2,0,0,208,107,315,1,0,0
11671,2,0,0,315,0,315,0,0,0
11695,2,0,0,279,36,315,6,0,0
11701,2,0,0,201,114,315,0,0,0
11703,3,0,0,167,148,315,0,0,0
11709,2,0,0,227,88,315,0,0,0
11721,2,0,0,189,126,315,0,0,0
11724,2,0,0,240,75,315,0,0,0
11728,2,0,0,206,109,315,6,0,0
11738,2,0,5,177,133,310,1,0,0
11739,2,0,1,171,143,314,1,0,0
11740,2,0,0,306,9,315,24,0,0
11741,4,0,0,129,186,315,3,0,0
11742,2,0,0,310,5,315,99,1,1
11743,2,0,1,170,144,314,3,0,0
11745,2,0,0,312,3,315,0,0,0
11747,3,0,2,311,2,313,9,0,0
11750,2,0,1,26,288,314,4,0,0
11751,2,0,1,55,259,314,60,1,1
11752,2,0,0,311,4,315,16,0,0
11753,13,0,0,242,73,315,0,0,0
11754,5,0,5,147,163,310,63,1,1
11757,2,0,0,52,263,315,5,0,0
11758,2,0,0,174,141,315,0,0,0
11759,6,0,1,230,84,314,0,0,0
11762,2,0,0,249,66,315,10,0,0
11763,12,0,0,189,126,315,0,0,0
11764,2,0,1,207,107,314,0,0,0
11766,2,0,0,311,4,315,0,0,0
11777,4,0,1,5,309,314,6,0,0
11778,2,0,0,169,146,315,27,0,0
11802,2,0,0,196,119,315,0,0,0
11811,9,0,3,183,129,312,0,0,0
11813,2,0,0,177,138,315,0,0,0
11815,2,0,0,184,131,315,0,0,0
11816,5,0,12,165,138,303,4,0,0
11817,9,0,0,213,102,315,0,0,0
11823,2,0,0,183,132,315,0,0,0
11824,2,0,1,307,7,314,8,0,0
11832,2,0,0,289,26,315,1,0,0
11833,10,0,3,45,267,312,27,0,0
11837,3,0,1,242,72,314,0,0,0
11838,39,1,1,156,158,314,3,0,1
11839,3,0,0,314,1,315,0,0,0
11840,2,0,0,212,103,315,0,0,0
11841,2,0,0,314,1,315,0,0,0
11842,2,0,0,219,96,315,0,0,0
11884,6,0,2,172,141,313,0,0,0
11885,4,0,0,278,37,315,1,0,0
