trial_type,trial_index,time_elapsed,internal_node_id,task_version,subject_id,interactions,success,rt,stimulus,key_press,button_pressed,offer,arcade_color_L,arcade_color_R,arcade_outcome_L,arcade_outcome_R,correct,stage_1_key,stage_1_choice,stage_1_rt,stage_2_key,stage_2_choice,stage_2_rt,stage_3_outcome,accuracy,phase,responses,num_errors,context,reward_prob_L,reward_prob_R,arcade_id_L,arcade_id_R,trial,block,response
pavlovia,0,15,0.0-0.0,voc_e2,12108,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fullscreen,1,3944,0.0-1.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-keyboard-response,2,7843,0.0-2.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,0,static/audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,3,10291,0.0-3.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,static/audio/turtle.wav,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,4,13149,0.0-4.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,static/audio/shark.wav,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,5,20010,0.0-5.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,1080.0000000000036,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,6,29023,0.0-5.0-1.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,2270.9999999999927,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,7,35960,0.0-5.0-2.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,1134,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,8,53660,0.0-5.0-3.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,4473.999999999993,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,9,78475,0.0-5.0-4.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,15428,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,10,83104,0.0-5.0-5.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,3119.9999999999854,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,11,85410,0.0-5.0-5.0-1.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,800,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,12,87740,0.0-5.0-5.0-2.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,0,10,1,null,null,null,37,1,826,0,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,13,89708,0.0-5.0-5.0-3.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,462,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,14,91647,0.0-5.0-5.0-4.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,435,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,15,110135,0.0-5.0-6.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,482.00000000001455,static/audio/instructions6.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,16,130592,0.0-5.0-7.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,1256,static/audio/instructions7.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,17,140749,0.0-5.0-8.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,685,static/audio/instructions8.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-comprehension,18,158259,0.0-5.0-9.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,17510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false,true",1,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,19,163641,0.0-5.1-0.1,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,603,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
