trial_type,trial_index,time_elapsed,internal_node_id,task_version,subject_id,interactions,success,rt,stimulus,key_press,button_pressed,offer,arcade_color_L,arcade_color_R,arcade_outcome_L,arcade_outcome_R,correct,stage_1_key,stage_1_choice,stage_1_rt,stage_2_key,stage_2_choice,stage_2_rt,stage_3_outcome,accuracy,phase,responses,num_errors,context,reward_prob_L,reward_prob_R,arcade_id_L,arcade_id_R,trial,block,response
pavlovia,0,7,0.0-0.0,voc_e2,12118,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fullscreen,1,4398,0.0-1.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-keyboard-response,2,9196,0.0-2.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,4771,static/audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,3,12082,0.0-3.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,NA,static/audio/turtle.wav,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,4,14229,0.0-4.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,NA,static/audio/shark.wav,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,5,23655,0.0-5.0-0.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,3646.900000005961,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,6,33144,0.0-5.0-1.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,2756,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,7,41099,0.0-5.0-2.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,2150.199999988079,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,8,55640,0.0-5.0-3.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,1310.800000011921,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,9,65894,0.0-5.0-4.0,voc_e2,12118,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3415}]",NA,866.7000000178814,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
